 playground,patio de recreo
View the County of Santa Clara Public Health press conference.,"Vea la conferencia de prensa de Salud Pública del condado de Santa Clara "
Updates on City of San José Services and/or Operations ,Actualizaciones sobre servicios y/u operaciones de la ciudad
"City of San José Update: The City of San Jose is providing telecommuting opportunities from now until April 3, to ensure the health and safety of our employees.","Actualización de la ciudad de San José: La Ciudad de San José brinda oportunidades de teletrabajo desde ahora hasta el 3 de abril, para garantizar la salud y la seguridad de nuestros empleados."
"Telecommuting may be an option to reduce density in the workplace, assuming work can effectively be continued from home.","El teletrabajo puede ser una opción para reducir la densidad en el lugar de trabajo, suponiendo que el trabajo pueda continuar efectivamente desde casa."
"Additionally, it may be an option for high risk individuals or for employees who are symptomatic but may still be able to work, provided specific considerations are met and departments authorize working from home.","También, puede ser una opción para personas de alto riesgo o para empleados sintomáticos pero que aún pueden trabajar, siempre que se cumplan específicas consideraciones y los departamentos autoricen trabajar desde casa."
"In addition, this may be an option where an employee’s children are not able to attend school because of school closures.","Además, esta puede ser una opción donde los hijos de un empleado no pueden asistir a la escuela debido al cierre de las escuelas."
The City of San José and City Hall remain open.   ,La ciudad de San José y el ayuntamiento permanecen abiertos.
San José Fire Department: The City of San José has confirmed that members of our San Jose Fire Department have tested positive for COVID-19.,Departamento de bomberos de San José: La Ciudad de San José ha confirmado que los miembros de nuestro Departamento de Bomberos de San José han dado positivo por COVID-19.
"As of this update, 8 sworn personnel have tested positive and we are currently tracking the status of 46 who may have been exposed.","A partir de esta actualización, ocho empleados juramentados han dado positivo y estamos monitoreando el estado de 46 que pueden haber estado expuestos."
The City will continue to provide updates to these numbers.,La ciudad continuará proporcionando actualizaciones a estos números.
The Fire Department has been able to successfully backfill all temporarily vacant positions and we expect to maintain normal resource levels indefinitely.,El Departamento de Bomberos ha podido rellenar con éxito todos los puestos temporalmente vacantes y esperamos mantener los niveles normales de recursos indefinidamente.
"Assistance for Homeless Individuals: The City is coordinating with County Office of Supportive Housing, Destination: Home, Valley Homeless Healthcare Program, County Public Health, and Centers for Disease Control and Prevention to protect our homeless neighbors from COVID-19.","Asistencia para personas sin hogar: La Ciudad se está coordinando con la Oficina de Apoyo en la Viviendas del Condado, Destino: Hogar, Programa de Atención Médica para Personas sin Hogar de Valley, Salud Pública del Condado y Centros para el Control y Prevención de Enfermedades para proteger a nuestros vecinos sin hogar de COVID-19."
Steps we are taking to assist this vulnerable group include:,"Los pasos que estamos tomando para ayudar a este grupo vulnerable incluyen: "
Suspending encampment abatements to avoid putting anyone at risk unintentionally;,"Suspender las reducciones de los campamentos para evitar poner a alguien en riesgo sin querer; "
"Providing handwashing stations, portable toilets, and water to encampments;","Proporcionar estaciones de lavamanos, baños portátiles y agua para campamentos;"
Expanding shelter capacity and keeping seasonal shelters open;,"Ampliar la capacidad de refugios permanentes y mantener abiertos los refugios estacionales; "
Sending outreach teams to encampments to help individuals understand how to protect themselves from COVID-19;,"El envío de equipos de alcance a los campamentos a los individuos ayudar a entender cómo protegerse de COVID-19; "
Requesting faith-based shelter providers expand their services;,"Solicitar a los proveedores de refugios basados en la fe que amplíen sus servicios; "
"Identifying individuals who are 50+ with chronic conditions who need to be sheltered or separated; ","Identificar a las personas mayores de 50 años y más con condiciones crónicas que necesitan refugio o separación; "
Developing protocols for transporting individuals when isolation or quarantine is necessary.,Desarrollar protocolos para transportar individuos cuando es necesario el aislamiento o la cuarentena.
Housing Department: The City of San José Housing Department wants to understand how the COVID-19 pandemic is affecting residential renters.,Departamento de vivienda: El Departamento de Vivienda de la Ciudad de San José quiere entender cómo la pandemia de COVID-19 está afectando a los inquilinos residenciales.
"Later this month, the City Council is considering an ordinance that would place a temporary moratorium on evictions of residents who are unable to pay their rent due to the financial impacts of COVID-19.","Más adelante este mes, el Concejo Municipal está considerando una ordenanza que colocaría una moratoria temporal sobre los desalojamientos de residentes que no pueden pagar su renta debido a los impactos financieros de COVID19."
"If you are a renter who has been affected by the pandemic, please contact City of San Jose Housing Department staff at 408-535-5621 or rsp@sanjoseca.gov.","Si usted es un inquilino que ha sido afectado por la pandemia, comuníquese con el personal del Departamento de Vivienda de la Ciudad de San José al 408-535-5621 o rsp@sanjoseca.gov."
Environmental Services Department: Household hazardous waste (HHW) drop-off appointments at the Environmental Innovation Center at 1608 Las Plumas Ave. in San José will be reduced to a maximum of 75 per day.,Departamento de servicios ambientales: Las citas para dejar Residuos Peligrosos del Hogar (RPH) en el Centro de Innovación Ambiental en 1608 Las Plumas Ave. en San José se reducirá a un máximo de 75 por día.
The Tech Interactive: The City-owned Tech Interactive has decided to close to the public through March 31.,"El Tech Interactivo: El Tech Interactive, propiedad de la Ciudad, ha decidido cerrar al público hasta el 31 de marzo."
All events have been cancelled or will be held virtually.,Todos los eventos han sido cancelados o se llevarán a cabo virtualmente.
There are no confirmed cases of the coronavirus associated with The Tech at this time.,No hay casos confirmados de coronavirus asociados con El Tech en este momento.
"All employees were given extra paid sick days and will be paid during the closure, even those who are unable to work remotely.","Todos los empleados recibieron días de enfermedad adicionales pagados y se les pagará durante el cierre, incluso aquellos que no pueden trabajar de forma remota."
Check thetech.org for updates.,Visite thetech.org para actualizaciones.
Office of Retirement Services: The Federated City Employees Retirement System (FCERS) Board has cancelled its March 19 meeting.,Oficina de servicios de jubilación: El Consejo del Sistema Federado de Jubilación de Empleados de la Ciudad (FCERS) ha cancelado su reunión del 19 de marzo.
"Arcadia Ballpark Grand Opening: The Arcadia Ballpark grand opening scheduled for Saturday, March 28 is postponed.",Inauguración del Estadio Arcadia: La inauguración del Estadio Arcadia programada para el sábado 28 de marzo se pospone.
Department of Transportation: Traffic safety outreach scheduled for April 1 at the Willow Glen Branch Library has been cancelled.,Departamento de transporte: El alcance comunitario sobre la seguridad vial programado para el 1 de abril en la Biblioteca Sucursal Willow Glen ha sido cancelado.
Park Closures: Happy Hollow Park & Zoo and Lake Cunningham Action Sports Park are closed per the new County order.,Cierres de parques: Zoológico y Parque Happy Hollow y Parque de Deportes de acción Lake Cunningham están cerrados según la nueva orden del Condado.
"Youth School Based Services and Programs: R.O.C.K. and ASES afterschool programs, San José Recreation Preschool, Zoo Education, Teen Centers and Youth Intervention programs are cancelled.","Servicios y programas basados en la escuela para jóvenes: Se cancelan los programas de R.O.C.K. y ASES para después de la escuela, preescolar de recreación de San José, educación en zoológicos, centros para adolescentes y programas de intervención para jóvenes."
"For a full list, visit bit.ly/prnscancellations.","Para una lista completa, visite bit.ly/prnscancellations."
Clean Slate Tattoo Removal: Clean Slate tattoo removal services at Valley Medical Center are suspended. ,Eliminación de tatuajes Clean Slate: Los servicios de eliminación de tatuajes Clean Slate en el Centro Medico Valley (VMC) están suspendidos.
